"Name","First_Name","Party","Twitter_Id"
"Mihalic","Irene","Bündnis 90/Die Grünen","143000381"
"Mijatović","Boris","Bündnis 90/Die Grünen","0"
"Mittag","Susanne","SPD","0"
"Möhring","Cornelia","Die Linke","2596171296"
"Möller","Siemtje","SPD","1115940238801743872"
"Mörseburg","Maximilian","CDU/CSU","0"
"Mohamed Ali","Amira","Die Linke","0"
"Mohrs","Falko","SPD","79228932"
"Moll","Claudia","SPD","1070312229139025920"
"Moncsek","Mike","AfD","0"
"Monstadt","Dietrich","CDU/CSU","0"
"Moosdorf","Matthias","AfD","0"
"Mordhorst","Maximilian","FDP","0"
"Müller","Alexander","FDP","0"
"Müller","Axel","CDU/CSU","0"
"Müller","Bettina","SPD","2443895924"
"Müller ","Carsten","CDU/CSU","1322811129635213313"
"Müller","Claudia","Bündnis 90/Die Grünen","0"
"Müller ","Detlef","SPD","784760007275515904"
"Müller","Florian","CDU/CSU","0"
"Müller","Michael","SPD","0"
"Müller","Sascha","Bündnis 90/Die Grünen","52793798"
"Müller","Sepp","CDU/CSU","0"
"Müller ","Stefan","CDU/CSU","17960911"
"Müller-Gemmeke","Beate","Bündnis 90/Die Grünen","0"
"Müller-Rosentritt","Frank","FDP","984048002967982080"
"Müntefering","Michelle","SPD","947740210036641793"
"Münzenmaier","Sebastian","AfD","863657874941255684"
"Mützenich","Rolf","SPD","0"
"Nacke","Stefan","CDU/CSU","0"
"Nanni","Sara","Bündnis 90/Die Grünen","0"
"Nasr","Rasha","SPD","3697025955"
"Nastic","Zaklin","Die Linke","2527808433"
"Naujok","Edgar","AfD","0"
"Nestle","Ingrid","Bündnis 90/Die Grünen","44359035"
"Nick","Ophelia","Bündnis 90/Die Grünen","2527051226"
"Nickholz","Brian","SPD","0"
"Nicolaisen","Petra","CDU/CSU","0"
"Nietan","Dietmar","SPD","0"
"Nolte","Jan Ralf","AfD","0"
"Notz","Konstantin von","Bündnis 90/Die Grünen","0"
"Nouripour","Omid","Bündnis 90/Die Grünen","0"
"Nürnberger","Jörg","SPD","0"
"Oehl","Lennard","SPD","0"
"Oellers","Wilfried","CDU/CSU","0"
"Özdemir","Cem","Bündnis 90/Die Grünen","0"
"Özdemir ","Mahmut","SPD","1399764944"
"Özoğuz","Aydan","SPD","0"
"Oppelt","Moritz","CDU/CSU","0"
"Ortleb","Josephine","SPD","21618829"
"Oßner","Florian","CDU/CSU","0"
"Oster","Josef","CDU/CSU","0"
"Otte","Henning","CDU/CSU","1416388709264633858"
"Otte","Karoline","Bündnis 90/Die Grünen","0"
"Otten","Gerold","AfD","774309860812918784"
"Pahlke","Julian","Bündnis 90/Die Grünen","960825326132752385"
"Pantazis","Christos","SPD","25909814"
"Papenbrock","Wiebke","SPD","0"
"Papendieck","Mathias","SPD","0"
"Pau","Petra","Die Linke","560467206"
"Paus","Lisa","Bündnis 90/Die Grünen","0"
"Pawlik","Natalie","SPD","0"
"Peick","Jens","SPD","1348612290250207234"
"Pellmann","Sören","Die Linke","74837812"
"Perli","Victor","Die Linke","3350681139"
"Peterka","Tobias Matthias","AfD","2496104640"
"Petry","Christian","SPD","64159881"
"Philippi","Andreas","SPD","1352627969664151553"
"Piechotta","Paula","Bündnis 90/Die Grünen","52318801"
"Pilsinger","Stephan","CDU/CSU","819914159915667456"
"Plobner","Jan","SPD","0"
"Ploß","Christoph","CDU/CSU","0"
"Plum","Martin","CDU/CSU","0"
"Pohl","Jürgen","AfD","175071092"
"Polat","Filiz","Bündnis 90/Die Grünen","194535434"
"Poschmann","Sabine","SPD","0"
"Post ","Achim","SPD","0"
"Protschka","Stephan","AfD","1412287272"
"Rachel","Thomas","CDU/CSU","0"
"Radomski","Kerstin","CDU/CSU","0"
"Radwan","Alexander","CDU/CSU","2831760211"
"Rainer","Alois","CDU/CSU","1310491780618555396"
"Ramsauer","Peter","CDU/CSU","0"
"Redder","Volker","FDP","0"
"Rehbaum","Henning","CDU/CSU","0"
"Reichardt","Martin","AfD","2545743991"
"Reichel","Markus","CDU/CSU","0"
"Reichinnek","Heidi","Die Linke","3417281013"
"Reinalter","Anja","Bündnis 90/Die Grünen","0"
"Reinhold","Hagen","FDP","925657781759332353"
"Renner","Martin Erwin","AfD","0"
"Renner","Martina","Die Linke","68920005"
"Reuther","Bernd","FDP","930422173478608903"
